Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
mdtEF	[mdtEF 3,659,145 &rarr; 3,663,527]	+	mdtEp3	[mdtEp3 3,659,145]
rnb	[rnb 1,346,942 &larr; 1,348,944]	-	rnbp2	[rnbp2 1,348,944]
rpmF-plsX-fabHDG	[rpmF-plsX-fabHDG 1,147,338 &rarr; 1,151,404]	+	rpmFp	[rpmFp 1,147,338]
rcsF-trmO	[rcsF-trmO 218,887 &larr; 219,995]	-		
emrRAB	[emrRAB 2,810,737 &rarr; 2,814,154]	+	mprAp	[mprAp 2,810,747]
stpA	[stpA 2,798,091 &larr; 2,798,556]	-	stpAp2	[stpAp2 2,798,556]
groSL	[groSL 4,370,616 &rarr; 4,372,671]	+	groSp	[groSp 4,370,616]
yjhE	[yjhE 4,506,861 &rarr; 4,507,109]	+		
yjdN	[yjdN 4,325,298 &larr; 4,325,741]	-		
yigGF	[yigGF 4,002,419 &larr; 4,003,193]	-		
sdiA	[sdiA 1,996,110 &larr; 1,996,832]	-		
yhdH	[yhdH 3,403,484 &rarr; 3,404,458]	+		
hsdMS	[hsdMS 4,580,068 &larr; 4,583,048]	-		
galK	[galK 788,831 &larr; 790,463]	-	galKp	[galKp 790,463]
greA	[greA 3,328,239 &larr; 3,328,864]	-	greAp1	[greAp1 3,328,864]
ycgH	[TU0-13165 1,219,601 &rarr; 1,222,248]	+		
yceF	[yceF 1,146,011 &larr; 1,146,595]	-		
argH	[argH 4,156,850 &rarr; 4,158,223]	+		
pykF	[pykF 1,755,663 &rarr; 1,757,110]	+	pykFp1	[pykFp1 1,755,663]
ilvLXG_1G_2MEDA	[ilvLXG_1G_2MEDA 3,950,201 &rarr; 3,957,123]	+	ilvLp2	[ilvLp2 3,950,290]
ilvLXG_1G_2MEDA	[ilvLXG_1G_2MEDA 3,950,201 &rarr; 3,957,123]	+	ilvLp1	[ilvLp1 3,950,218]
glyU	[glyU 2,998,984 &larr; 2,999,057]	-		
degP	[degP 180,622 &rarr; 182,308]	+	degPp	[degPp 180,845]
mreB	[mreB 3,400,005 &larr; 3,401,356]	-	mreBp3	[mreBp3 3,401,356]
yhhY	[yhhY 3,581,034 &rarr; 3,581,626]	+	yhhYp	[yhhYp 3,581,111]
yafF	[yafF 239,190 &rarr; 239,378]	+		
yfgG	[yfgG 2,629,252 &rarr; 2,629,481]	+	yfgGp	[yfgGp 2,629,252]
argR	[argR 3,384,602 &rarr; 3,385,173]	+	argRp2	[argRp2 3,384,602]
rhoL-rho	[rhoL-rho 3,966,162 &rarr; 3,967,731]	+	rhoLp	[rhoLp 3,966,162]
iraP	[iraP 401,363 &rarr; 401,646]	+	iraPp2	[iraPp2 401,363]
ybjG	[ybjG 882,792 &larr; 883,508]	-	ybjGp	[ybjGp 883,508]
lon	[lon 458,815 &rarr; 461,242]	+	lonp	[lonp 458,815]
gabDTP	[gabDTP 2,791,128 &rarr; 2,795,653]	+	gabDp1	[gabDp1 2,791,172]
melR	[melR 4,340,720 &larr; 4,341,650]	-	melRp	[melRp 4,341,650]
focA-pflB	[focA-pflB 951,207 &larr; 954,493]	-	focAp1	[focAp1 954,493]
ymiA-yciX	[ymiA-yciX 1,335,090 &rarr; 1,335,458]	+	ymiAp	[ymiAp 1,335,090]
glnAZLG	[glnAZLG 4,053,869 &larr; 4,058,222]	-	glnAp1	[glnAp1 4,058,222]
yjiHG-iadA	[yjiHG-iadA 4,558,354 &larr; 4,560,680]	-		
yehS	[yehS 2,211,726 &larr; 2,212,226]	-	yehSp	[yehSp NIL &larr; NIL]
glgS	[glgS 3,191,716 &larr; 3,192,012]	-	glgSp1	[glgSp1 3,192,012]
gpmA	[gpmA 786,843 &larr; 787,670]	-	gpmAp2	[gpmAp2 787,670]
yihUTS	[yihUTS 4,070,515 &larr; 4,073,663]	-	yihUp5	[yihUp5 4,073,663]
dacD	[dacD 2,081,341 &larr; 2,082,547]	-		
menA-rraA	[menA-rraA 4,118,845 &larr; 4,120,406]	-	menAp2	[menAp2 4,120,406]
rnc-era	[rnc-era 2,702,481 &larr; 2,704,223]	-	rncp	[rncp 2,704,223]
corA	[corA 4,001,194 &rarr; 4,002,376]	+	corAp	[corAp 4,001,194]
yffB-dapE-ypfN	[yffB-dapE-ypfN 2,591,217 &rarr; 2,592,962]	+	yffBp	[yffBp NIL &rarr; NIL]
sseA	[sseA 2,652,391 &rarr; 2,653,339]	+	sseAp	[sseAp 2,652,391]
ydiNB-aroD	[ydiNB-aroD 1,772,512 &rarr; 1,775,444]	+		
nudE	[nudE 3,525,589 &larr; 3,526,149]	-		
lsrK	[lsrK 1,598,617 &larr; 1,600,209]	-		
pmrD	[pmrD 2,373,272 &larr; 2,373,538]	-		
cysK	[cysK 2,532,324 &rarr; 2,533,424]	+	cysKp1	[cysKp1 2,532,377]
ydcF	[ydcF 1,487,235 &rarr; 1,488,035]	+		
ykgEFG	[ykgEFG 321,608 &rarr; 324,453]	+		
uxuAB	[uxuAB 4,551,358 &rarr; 4,554,361]	+	uxuAp	[uxuAp 4,551,518]
fimAICDFGH	[fimAICDFGH 4,542,642 &rarr; 4,549,710]	+	fimAp	[fimAp 4,542,694]
malPQ	[malPQ 3,547,986 &larr; 3,552,510]	-	malPp	[malPp 3,552,510]
yghZ	[yghZ 3,147,897 &rarr; 3,148,937]	+		
yfiE	[yfiE 2,714,439 &larr; 2,715,320]	-		
galETK	[galETK 788,615 &larr; 792,081]	-	galEp	[galEp 792,081]
ynfK	[ynfK 1,666,524 &larr; 1,667,219]	-		
btsT	[btsT 4,589,129 &larr; 4,591,367]	-	yjiYp	[yjiYp 4,591,367]
trmL	[trmL 3,781,215 &rarr; 3,781,688]	+		
ybeU-djlC	[ybeU-djlC 679,508 &rarr; 681,663]	+		
yjbQR	[yjbQR 4,270,214 &rarr; 4,271,061]	+	yjbQp	[yjbQp 4,270,214]
leuQPV	[leuQPV 4,606,079 &larr; 4,606,432]	-	leuQp	[leuQp 4,606,432]
yfhG	[yfhG 2,688,793 &larr; 2,689,506]	-		
creABC	[creABC 4,635,243 &rarr; 4,638,120]	+	creAp2	[creAp2 4,635,243]
nudB-yebC-ruvC	[nudB-yebC-ruvC 1,946,815 &larr; 1,948,674]	-	nudBp	[nudBp 1,948,674]
rybA-mntS	[rybA-mntS 852,725 &larr; 853,064]	-	rybAp	[rybAp 853,064]
arsRBC	[arsRBC 3,648,470 &rarr; 3,650,662]	+	arsRp	[arsRp 3,648,512]
ldrA	[ldrA 1,269,168 &larr; 1,269,275]	-		
ycaD	[ycaD 945,871 &rarr; 947,019]	+		
acrD	[acrD 2,587,443 &rarr; 2,590,708]	+	acrDp	[acrDp 2,587,475]
acrB	[acrB 481,254 &larr; 484,685]	-	acrBp	[acrBp 484,685]
plaP	[plaP 2,085,704 &larr; 2,087,062]	-		
nupG	[nupG 3,105,558 &rarr; 3,106,970]	+	nupGp	[nupGp 3,105,651]
relBE	[relBE 1,645,346 &larr; 1,645,872]	-		
cydDC	[cydDC 927,474 &larr; 931,031]	-	cydDp	[cydDp 931,031]
yebC-ruvC	[yebC-ruvC 1,946,815 &larr; 1,948,185]	-	yebCp	[yebCp 1,948,185]
rlmI	[rlmI 1,028,779 &larr; 1,029,969]	-		
trxB	[trxB 931,019 &larr; 932,078]	-	trxBp	[trxBp 932,078]
nrdR-ribDE-nusB-thiL-pgpA	[nrdR-ribDE-nusB-thiL-pgpA 432,977 &rarr; 437,107]	+	nrdRp	[nrdRp 432,977]
gatYZABCD	[gatYZABCD 2,171,833 &larr; 2,177,234]	-	gatYp	[gatYp 2,177,234]
yjgX	[yjgX 4,499,593 &larr; 4,500,791]	-		
ybgTE	[ybgTE 774,196 &rarr; 774,602]	+		
cbl	[cbl 2,059,964 &larr; 2,060,941]	-	cblp	[cblp 2,060,941]
cydAB	[cydAB 771,116 &rarr; 774,181]	+	cydAp3	[cydAp3 771,202]
yncJ	[yncJ 1,508,834 &larr; 1,509,064]	-		
pdxK	[pdxK 2,536,386 &larr; 2,537,319]	-	pdxKp	[pdxKp 2,537,319]
cspA	[cspA 3,719,889 &rarr; 3,720,313]	+	cspAp1	[cspAp1 3,719,889]
ascG	[ascG 2,838,254 &larr; 2,839,264]	-		
ssrA	[ssrA 2,755,586 &rarr; 2,755,955]	+	ssrAp	[ssrAp 2,755,586]
lysC	[lysC 4,231,884 &larr; 4,233,539]	-	lysCp1	[lysCp1 4,233,539]
uof-fur	[uof-fur 710,118 &larr; 710,829]	-	uofp	[uofp 710,829]
narU	[narU 1,542,672 &larr; 1,544,163]	-	narUp2	[narUp2 1,544,163]
astCADBE	[astCADBE 1,825,955 &larr; 1,832,044]	-	astCp2	[astCp2 1,832,044]
proP	[proP 4,330,284 &rarr; 4,332,004]	+	proPp2	[proPp2 4,330,407]
aroG	[aroG 785,553 &rarr; 786,821]	+	aroGp	[aroGp 785,591]
psd-mscM	[psd-mscM 4,386,047 &larr; 4,390,638]	-	psdp	[psdp 4,390,638]
yiaB	[yiaB 3,727,407 &larr; 3,727,748]	-		
ybdO	[ybdO 636,716 &larr; 637,618]	-		
mazE	[mazE 2,911,091 &larr; 2,911,339]	-		
galETKM	[galETKM 787,689 &larr; 792,081]	-	galEp	[galEp 792,081]
osmE	[osmE 1,821,865 &larr; 1,822,283]	-	osmEp2	[osmEp2 1,822,283]
ryeA	[ryeA 1,923,064 &rarr; 1,923,337]	+	ryeAp	[ryeAp 1,923,064]
ycdXY	[ycdXY 1,098,879 &rarr; 1,100,194]	+		
yqfA	[yqfA 3,042,489 &larr; 3,043,148]	-		
glrR-glnB	[glrR-glnB 2,687,070 &larr; 2,688,803]	-		
mdtQ	[mdtQ 2,227,323 &larr; 2,228,758]	-		
ysgA	[ysgA 4,015,354 &larr; 4,016,343]	-	ysgAp	[ysgAp 4,016,343]
yraIJK	[yraIJK 3,288,090 &rarr; 3,292,432]	+		
pdxB-usg-truA-dedA	[pdxB-usg-truA-dedA 2,434,082 &larr; 2,437,884]	-	pdxBp	[pdxBp 2,437,884]
qmcA-ybbJ	[qmcA-ybbJ 514,401 &larr; 515,823]	-	qmcAp	[qmcAp 515,823]
iprA	[iprA 394,506 &rarr; 395,129]	+		
yjiJ	[yjiJ 4,561,497 &larr; 4,562,675]	-		
efp	[efp 4,375,567 &rarr; 4,376,265]	+	efpp	[efpp 4,375,567]
dkgB	[dkgB 229,098 &rarr; 229,970]	+	dkgBp	[dkgBp 229,098]
clpA	[clpA 923,092 &rarr; 925,540]	+	clpAp2	[clpAp2 923,092]
ykfGH-yafW-ykfI	[ykfGH-yafW-ykfI 263,328 &larr; 264,762]	-	ykfGp	[ykfGp NIL &larr; NIL]
lldPRD	[lldPRD 3,777,271 &rarr; 3,781,017]	+	lldPp	[lldPp 3,777,289]
ttdR	[ttdR 3,205,324 &larr; 3,206,380]	-	ttdRp	[ttdRp 3,206,380]
insQ	[insQ 1,503,657 &rarr; 1,504,865]	+		
zapC	[zapC 1,005,952 &rarr; 1,006,494]	+		
tolC-ygiBC	[tolC-ygiBC 3,178,062 &rarr; 3,181,581]	+	tolCp3	[tolCp3 3,178,062]
fimB	[fimB 4,540,809 &rarr; 4,541,559]	+	fimBp1	[fimBp1 4,540,809]
dctA	[dctA 3,682,161 &larr; 3,683,498]	-	dctAp	[dctAp 3,683,498]
tpke70	[tpke70 2,496,194 &larr; 2,496,629]	-		
yjjY	[yjjY 4,640,402 &rarr; 4,640,542]	+		
fliE	[fliE 2,012,700 &larr; 2,013,036]	-	fliEp1	[fliEp1 2,013,036]
nhoA	[nhoA 1,534,024 &rarr; 1,534,869]	+		
smrB	[smrB 2,448,606 &rarr; 2,449,157]	+		
rplKAJL-rpoBC	[rplKAJL-rpoBC 4,178,354 &rarr; 4,189,613]	+	rplKp	[rplKp 4,178,354]
gcvR	[gcvR 2,599,879 &rarr; 2,600,478]	+	gcvRp1	[gcvRp1 2,599,879]
pnp	[pnp 3,308,999 &larr; 3,311,326]	-	pnpp	[pnpp 3,311,326]
topA	[topA 1,330,848 &rarr; 1,333,645]	+	topAp3	[topAp3 1,330,848]
lysA	[lysA 2,977,637 &larr; 2,978,951]	-	lysAp	[lysAp 2,978,951]
ucpA	[ucpA 2,543,832 &larr; 2,544,671]	-	ucpAp2	[ucpAp2 2,544,671]
yfdRST	[yfdRST 2,474,984 &rarr; 2,476,178]	+		
phoQ	[phoQ 1,188,316 &larr; 1,189,940]	-	phoQp5	[phoQp5 1,189,940]
mreBCD	[mreBCD 3,398,387 &larr; 3,401,193]	-	mreBp2	[mreBp2 3,401,193]
ybaZ	[ybaZ 475,982 &larr; 476,371]	-		
pflB	[pflB 951,207 &larr; 953,579]	-	pflBp1	[pflBp1 953,579]
yadV-htrE	[yadV-htrE 152,829 &larr; 156,214]	-	yadVp3	[yadVp3 156,214]
rpoH	[rpoH 3,599,887 &larr; 3,601,003]	-	rpoHp2	[rpoHp2 3,601,003]
serC	[serC 957,461 &rarr; 958,741]	+	serCp1	[serCp1 957,595]
rem	[rem 1,644,651 &larr; 1,644,902]	-		
rpsF-priB-rpsR-rplI	[rpsF-priB-rpsR-rplI 4,425,025 &rarr; 4,426,557]	+	rpsFp	[rpsFp 4,425,025]
grcA	[grcA 2,716,066 &larr; 2,716,523]	-	grcAp1	[grcAp1 2,716,523]
rfaDFCL	[rfaDFCL 3,793,939 &rarr; 3,798,207]	+	rfaDp1	[rfaDp1 3,793,939]
ddpXABCDF	[ddpXABCDF 1,557,112 &larr; 1,563,107]	-	ddpXp1	[ddpXp1 1,563,107]
betT	[betT 329,391 &rarr; 331,496]	+	betTp	[betTp 329,421]
manXYZ-yobD	[manXYZ-yobD 1,902,048 &rarr; 1,905,259]	+		
gadW	[gadW 3,663,541 &larr; 3,664,651]	-	gadWp1	[gadWp1 3,664,651]
gntXY	[gntXY 3,544,625 &rarr; 3,546,199]	+	gntXp	[gntXp 3,544,667]
yiaWV	[yiaWV 3,752,963 &larr; 3,754,428]	-		
edd-eda	[edd-eda 1,932,085 &larr; 1,934,713]	-	eddp	[eddp 1,934,713]
osmF-yehYXW	[osmF-yehYXW 2,215,745 &larr; 2,219,523]	-	osmFp1	[osmFp1 2,219,523]
yidP	[yidP 3,863,899 &rarr; 3,864,615]	+		
mreCD	[mreCD 3,398,387 &larr; 3,400,008]	-	mreCp	[mreCp NIL &larr; NIL]
wcaKLM	[wcaKLM 2,114,502 &larr; 2,118,404]	-		
bioH	[bioH 3,544,074 &larr; 3,544,858]	-	bioHp	[bioHp 3,544,858]
gadEF-mdtEF	[gadEF-mdtEF 3,658,146 &rarr; 3,663,527]	+	gadEp2	[gadEp2 3,658,345]
yaiI	[yaiI 405,764 &rarr; 406,222]	+		
ybeD-lipB	[ybeD-lipB 661,637 &larr; 662,706]	-	ybeDp	[ybeDp 662,706]
smg	[smg 3,431,991 &larr; 3,432,464]	-		
rnd	[rnd 1,886,864 &larr; 1,888,061]	-	rndp	[rndp 1,888,061]
arnBCADTEF	[arnBCADTEF 2,365,910 &rarr; 2,373,278]	+		
ychF	[ychF 1,256,721 &larr; 1,257,882]	-	ychFp	[ychFp 1,257,882]
yphH	[yphH 2,682,863 &rarr; 2,684,056]	+		
frr	[frr 192,814 &rarr; 193,498]	+	frrp	[frrp 192,814]
htrG-cca	[htrG-cca 3,201,042 &rarr; 3,203,129]	+	ygiMp2	[ygiMp2 3,201,042]
dgkA	[dgkA 4,256,608 &rarr; 4,257,005]	+	dgkAp2	[dgkAp2 4,256,608]
yihUTS	[yihUTS 4,070,515 &larr; 4,073,586]	-	yihUp1	[yihUp1 4,073,586]
yfjJ	[yfjJ 2,760,547 &rarr; 2,761,173]	+		
yahL	[yahL 344,176 &rarr; 344,991]	+		
cysS	[cysS 554,577 &rarr; 555,996]	+	cysSp	[cysSp 554,577]
hemH	[hemH 497,998 &rarr; 499,017]	+	hemHp	[hemHp 498,031]
letAB	[letAB 1,916,258 &rarr; 1,920,143]	+		
ompL	[ompL 4,063,603 &larr; 4,064,295]	-		
hcp-hcr	[hcp-hcr 911,182 &larr; 914,129]	-	hcpp2	[hcpp2 914,129]
bamB-der	[bamB-der 2,635,884 &larr; 2,638,975]	-	bamBp	[bamBp 2,638,975]
flhDC	[flhDC 1,977,200 &larr; 1,978,577]	-	flhDp2	[flhDp2 1,978,577]
hypBCDE-fhlA	[hypBCDE-fhlA 2,850,839 &rarr; 2,856,416]	+	hypBp	[hypBp 2,850,839]
yfeN	[yfeN 2,525,127 &rarr; 2,525,891]	+		
yaaJ	[yaaJ 6,529 &larr; 7,959]	-		
btuE	[btuE 1,793,558 &larr; 1,794,129]	-	btuEp2	[btuEp2 1,794,129]
bglGFB	[bglGFB 3,902,249 &larr; 3,906,697]	-	bglGp1	[bglGp1 3,906,697]
dps	[dps 848,408 &larr; 848,950]	-	dpsp2	[dpsp2 848,950]
yedS	[yedS 2,034,051 &rarr; 2,035,243]	+		
ttdABT	[ttdABT 3,206,424 &rarr; 3,209,487]	+	ttdAp	[ttdAp 3,206,424]
malI	[malI 1,698,136 &larr; 1,699,228]	-	malIp	[malIp 1,699,228]
stpA	[stpA 2,798,091 &larr; 2,798,536]	-	stpAp1	[stpAp1 2,798,536]
putA	[putA 1,074,920 &larr; 1,078,925]	-	putAp	[putAp 1,078,925]
rclABC	[rclABC 317,726 &larr; 320,215]	-	rclAp	[rclAp 320,215]
potFGHI	[potFGHI 893,736 &rarr; 897,929]	+	potFp1	[potFp1 893,736]
symE	[symE 4,579,499 &larr; 4,579,917]	-	symEp	[symEp 4,579,917]
frsA	[frsA 256,502 &rarr; 257,771]	+	frsAp	[frsAp 256,502]
zntA	[zntA 3,606,397 &rarr; 3,608,649]	+	zntAp	[zntAp 3,606,422]
yecN-cmoAB	[yecN-cmoAB 1,952,266 &rarr; 1,954,413]	+		
speAB	[speAB 3,082,877 &larr; 3,086,048]	-	speAp	[speAp 3,086,048]
radA-nadR	[radA-nadR 4,625,912 &rarr; 4,628,547]	+		
nanCMS	[nanCMS 4,536,614 &larr; 4,539,928]	-	nanCp	[nanCp 4,539,928]
yfiL	[yfiL 2,741,360 &rarr; 2,741,725]	+		
pfkB	[pfkB 1,806,351 &rarr; 1,807,299]	+	pfkBp1	[pfkBp1 1,806,351]
fumB	[fumB 4,345,631 &larr; 4,347,348]	-	fumBp	[fumBp 4,347,348]
ompC	[ompC 2,311,610 &larr; 2,312,864]	-	ompCp2	[ompCp2 2,312,864]
zitB	[zitB 783,882 &larr; 784,823]	-		
hemF	[hemF 2,552,952 &rarr; 2,554,124]	+	hemFp3	[hemFp3 2,552,952]
yebG	[yebG 1,930,457 &larr; 1,930,765]	-	yebGp	[yebGp 1,930,765]
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	[yafY-ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,553]	-		
surA-pdxA-rsmA-apaGH	[surA-pdxA-rsmA-apaGH 50,380 &larr; 54,732]	-	surAp	[surAp NIL &larr; NIL]
rpsT	[rpsT 20,771 &larr; 21,120]	-	rpsTp2	[rpsTp2 21,120]
yjeFE-amiB-mutL-miaA-hfq-hflXKC	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,035 &rarr; 4,404,304]	+	yjeFp3	[yjeFp3 4,394,035]
mngB	[mngB 767,795 &rarr; 770,611]	+	mngBp2	[mngBp2 767,795]
grcA	[grcA 2,716,066 &larr; 2,716,506]	-	grcAp2	[grcAp2 2,716,506]
ygjV	[ygjV 3,241,193 &larr; 3,241,744]	-		
mngB	[mngB 767,825 &rarr; 770,611]	+	mngBp1	[mngBp1 767,825]
ygiW	[ygiW 3,169,284 &larr; 3,169,676]	-		
ybeQ	[ybeQ 675,570 &larr; 676,547]	-		
yeaK	[yeaK 1,873,574 &rarr; 1,874,077]	+		
ansA-pncA	[ansA-pncA 1,850,860 &rarr; 1,852,528]	+		
cobUST	[cobUST 2,063,388 &larr; 2,065,874]	-	cobUp1	[cobUp1 2,065,874]
rlmM	[rlmM 2,940,143 &larr; 2,941,243]	-		
appCBA-yccB	[appCBA-yccB 1,037,710 &rarr; 1,041,915]	+	appCp	[appCp 1,037,710]
yjeT	[yjeT 4,404,386 &rarr; 4,404,583]	+		
rph	[rph 3,815,807 &larr; 3,816,580]	-	rphp	[rphp 3,816,580]
bacA	[bacA 3,203,310 &larr; 3,204,175]	-	bacAp	[bacAp 3,204,175]
yiiX	[yiiX 4,127,286 &larr; 4,127,894]	-		
rfaQGPSBIJYZ-waaU	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,180]	-	waaQp	[waaQp 3,808,180]
ydhYVWXUT	[ydhYVWXUT 1,748,747 &larr; 1,754,642]	-	ydhYp	[ydhYp 1,754,642]
insK	[insK 3,721,065 &rarr; 3,722,049]	+	insKp	[insKp 3,721,065]
adk	[adk 497,139 &rarr; 497,819]	+	adkp	[adkp 497,139]
metE	[metE 4,012,822 &rarr; 4,015,314]	+	metEp	[metEp 4,012,884]
potABCD	[potABCD 1,181,783 &larr; 1,185,594]	-		
endA	[endA 3,090,327 &rarr; 3,091,123]	+	endAp1	[endAp1 3,090,327]
lapAB	[lapAB 1,340,135 &rarr; 1,341,727]	+	lapAp1	[lapAp1 1,340,135]
murQP	[murQP 2,545,741 &rarr; 2,548,097]	+	murQp2	[murQp2 2,545,741]
ydbK-ompN	[ydbK-ompN 1,435,760 &larr; 1,440,846]	-	ydbKp4	[ydbKp4 1,440,846]
folE-yeiB	[folE-yeiB 2,241,810 &larr; 2,243,848]	-	folEp	[folEp 2,243,848]
pykA	[pykA 1,937,544 &rarr; 1,939,091]	+	pykAp	[pykAp 1,937,544]
yagN	[yagN 295,139 &larr; 295,579]	-		
paaZ	[paaZ 1,451,597 &larr; 1,453,670]	-	paaZp	[paaZp 1,453,670]
hslO	[hslO 3,529,774 &rarr; 3,530,652]	+		
ybcK	[ybcK 568,902 &rarr; 570,428]	+		
mpaA	[mpaA 1,389,870 &larr; 1,390,598]	-		
cdaR	[cdaR 182,447 &rarr; 183,620]	+	cdaRp	[cdaRp 182,447]
yheSTU	[yheSTU 3,481,289 &rarr; 3,484,436]	+		
fklB	[fklB 4,428,935 &rarr; 4,429,555]	+		
mppA	[mppA 1,393,227 &rarr; 1,394,840]	+		
yadV-htrE	[yadV-htrE 152,829 &larr; 156,235]	-	yadVp1	[yadVp1 156,235]
yfdGHI	[yfdGHI 2,467,855 &rarr; 2,470,462]	+		
yfaX-rhmD	[yfaX-rhmD 2,360,209 &larr; 2,362,211]	-		
paaJ	[paaJ 1,460,801 &rarr; 1,462,098]	+	paaJp1	[paaJp1 1,460,801]
eno	[eno 2,906,643 &larr; 2,908,702]	-	enop2	[enop2 2,908,702]
cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	+	cyaRp	[cyaRp 2,167,114]
yggE	[yggE 3,067,340 &larr; 3,068,126]	-	yggEp1	[yggEp1 3,068,126]
tufA	[tufA 3,470,145 &larr; 3,471,724]	-	tufAp1	[tufAp1 3,471,724]
serX	[serX 1,096,979 &larr; 1,097,676]	-	serXp	[serXp 1,097,676]
dcuB-fumB	[dcuB-fumB 4,345,631 &larr; 4,349,091]	-	dcuBp2	[dcuBp2 4,349,091]
pfkA	[pfkA 4,107,438 &rarr; 4,108,732]	+	pfkAp	[pfkAp 4,107,474]
ynjF	[ynjF 1,840,783 &larr; 1,841,432]	-	ynjFp	[ynjFp 1,841,432]
rpsP-rimM-trmD-rplS	[rpsP-rimM-trmD-rplS 2,744,115 &larr; 2,746,254]	-	rpsPp	[rpsPp 2,746,254]
selD-topB	[selD-topB 1,844,932 &larr; 1,848,024]	-	selDp1	[selDp1 1,848,024]
yedEF	[yedEF 2,008,277 &rarr; 2,009,712]	+		
trxA	[trxA 3,965,687 &rarr; 3,966,136]	+	trxAp2	[trxAp2 3,965,687]
yraH	[yraH 3,287,426 &rarr; 3,288,010]	+		
yaiA-aroM	[yaiA-aroM 406,949 &rarr; 408,105]	+	yaiAp	[yaiAp NIL &rarr; NIL]
ugd	[ugd 2,098,447 &larr; 2,099,613]	-		
actP	[actP 4,283,253 &larr; 4,284,935]	-	actPp	[actPp 4,284,935]
rplT	[rplT 1,799,363 &larr; 1,799,763]	-	rplTp	[rplTp 1,799,763]
yggX-mltC-nupG	[yggX-mltC-nupG 3,103,993 &rarr; 3,106,970]	+	yggXp	[yggXp 3,103,993]
tar-tap-cheRBYZ	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,716]	-	tarp	[tarp 1,972,716]
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,344]	-	csgDp3	[csgDp3 1,103,344]
lysR	[lysR 2,978,950 &rarr; 2,979,956]	+	lysRp	[lysRp 2,978,950]
pflB	[pflB 951,207 &larr; 953,851]	-	pflBp4	[pflBp4 953,851]
yffMN	[yffMN 2,561,368 &rarr; 2,561,993]	+		
bhsA	[bhsA 1,169,033 &rarr; 1,169,330]	+	bhsAp	[bhsAp 1,169,033]
ispG-sroE	[ispG-sroE 2,640,595 &larr; 2,641,804]	-		
fabI	[fabI 1,350,251 &larr; 1,351,121]	-	fabIp	[fabIp 1,351,121]
ylbG	[ylbG 529,645 &larr; 530,016]	-		
ydeP	[ydeP 1,584,207 &larr; 1,586,664]	-	ydePp	[ydePp 1,586,664]
ssrS-ygfA	[ssrS-ygfA 3,055,974 &rarr; 3,056,789]	+	ssrSp1	[ssrSp1 3,055,974]
yhhW	[yhhW 3,578,950 &larr; 3,579,645]	-		
glpEGR	[glpEGR 3,559,754 &larr; 3,561,849]	-	glpEp	[glpEp 3,561,849]
envY-ompT	[envY-ompT 584,680 &larr; 586,908]	-		
pdeD	[pdeD 1,898,427 &rarr; 1,900,025]	+		
ylaC	[ylaC 478,781 &larr; 479,288]	-	ylaCp	[ylaCp 479,288]
rmf	[rmf 1,015,650 &rarr; 1,015,924]	+	rmfp	[rmfp 1,015,650]
uvrB	[uvrB 813,493 &rarr; 815,547]	+	uvrBp1	[uvrBp1 813,493]
isrC-flu	[isrC-flu 2,071,317 &rarr; 2,074,658]	+	flup	[flup 2,071,317]
yggI	[yggI 3,089,755 &rarr; 3,090,252]	+		
dinB-yafNOP	[dinB-yafNOP 250,880 &rarr; 253,161]	+	dinBp2	[dinBp2 250,880]
ygcW	[ygcW 2,899,488 &larr; 2,900,273]	-		
yegW	[yegW 2,182,035 &larr; 2,182,811]	-	yegWp	[yegWp NIL &larr; NIL]
fbaB	[fbaB 2,177,512 &larr; 2,178,667]	-	fbaBp	[fbaBp 2,178,667]
eda	[eda 1,932,085 &larr; 1,932,799]	-	edap2	[edap2 1,932,799]
ybiJ	[ybiJ 837,665 &larr; 837,925]	-		
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,590]	-	dnaNp2	[dnaNp2 3,882,590]
fliE	[fliE 2,012,700 &larr; 2,013,093]	-	fliEp2	[fliEp2 2,013,093]
yiiU	[yiiU 4,118,515 &rarr; 4,118,760]	+		
fre	[fre 4,026,443 &rarr; 4,027,228]	+	frep1	[frep1 4,026,443]
putP	[putP 1,079,168 &rarr; 1,080,838]	+	putPp1	[putPp1 1,079,168]
yccA	[yccA 1,030,701 &larr; 1,031,443]	-	yccAp	[yccAp 1,031,443]
insA-7	[insA-7 4,518,527 &rarr; 4,518,802]	+		
ribC	[ribC 1,742,601 &larr; 1,743,242]	-		
sibE	[sibE 3,195,097 &larr; 3,195,240]	-	sibEp	[sibEp 3,195,240]
recG	[recG 3,825,210 &rarr; 3,827,291]	+		
crp	[crp 3,485,861 &rarr; 3,486,792]	+	crpp3	[crpp3 3,486,025]
yoaC	[yoaC 1,893,966 &rarr; 1,894,432]	+	yoaCp1	[yoaCp1 1,893,966]
