TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
nemRA	+	ydhM	+
nemRA	+	nemRA-gloA	+
rrsA-ileT-alaT-rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
rrsA-ileT-alaT-rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
ybhA1	-	ybhA2	-
ybhA2	-	pgl1	+
pqiABC	+	pqiABC	+
pqiABC	+	rlmL-uup	+
pqiABC	+	pqiABC	+
pqiABC	+	pqiABC	+
pqiABC	+	ymbA	+
yafZ	-	ykfA-yafZ	-
mazEF	-	mazE1	-
mazEF	-	mazE2	-
mazEF	-	mazEFG	-
mazEF	-	mazEFG	-
mazEF	-	relA-mazEF	-
mazEF	-	relA-mazEF	-
mazEF	-	ameF	+
evgAS	+	evgAS	+
ybdF1	-	ybdJ1	-
ybdF1	-	ybdJ2	-
ybdF1	-	ybdJ3	-
ybdF1	-	ybdJ4	-
sraA	-	clpPX	+
sraA	-	clpPX	+
sraA	-	clpPX	+
sraA	-	clpX-lon	+
msrPQ	+	hiuH-msrPQ	+
cpxRA	-	cpxRA	-
micF	+	micF	+
ybdN	-	ybdM1	-
ycaI-msbA-lpxK-ycaQ1	+	ycaI-msbA-lpxK-ycaQ2	+
ycaI-msbA-lpxK-ycaQ1	+	ycaI-msbA-lpxK-ycaQ3	+
ycaI-msbA-lpxK-ycaQ1	+	rpsA-ihfB	+
ycaI-msbA-lpxK-ycaQ1	+	ihfB	+
ycaI-msbA-lpxK-ycaQ1	+	ihfB	+
ycaI-msbA-lpxK-ycaQ2	+	ycaI-msbA-lpxK-ycaQ3	+
ycaI-msbA-lpxK-ycaQ3	+	rpsA-ihfB	+
ycaI-msbA-lpxK-ycaQ3	+	ihfB	+
ycaI-msbA-lpxK-ycaQ3	+	ihfB	+
yegX1	-	yegX2	-
yegX1	-	thiMD	-
yegX2	-	thiMD	-
yicG	+	ligB1	-
yicG	+	ligB2	-
wzbc	-	wza-wzb-wzc-wcaAB	-
xanP1	+	xanP2	+
carB	+	carAB	+
carB	+	carAB	+
uspC1	+	uspC2	+
uspC1	+	uspC3	+
uspC1	+	uspC4	+
uspC1	+	uspC5	+
uspC1	+	uspC6	+
uspC1	+	otsA	-
uspC1	+	otsBA	-
uspC1	+	otsBA	-
uspC2	+	uspC3	+
uspC2	+	uspC4	+
uspC2	+	uspC5	+
uspC2	+	uspC6	+
uspC2	+	otsA	-
uspC2	+	otsBA	-
uspC2	+	otsBA	-
uspC3	+	uspC4	+
uspC3	+	uspC5	+
uspC3	+	uspC6	+
uspC3	+	otsA	-
uspC3	+	otsBA	-
uspC3	+	otsBA	-
uspC4	+	uspC5	+
uspC4	+	uspC6	+
uspC4	+	otsA	-
uspC4	+	otsBA	-
uspC4	+	otsBA	-
uspC5	+	uspC6	+
uspC5	+	otsA	-
uspC5	+	otsBA	-
uspC5	+	otsBA	-
uspC6	+	otsA	-
uspC6	+	otsBA	-
uspC6	+	otsBA	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ybhD1	-	ybhD2	-
ybhD1	-	ybhH2	+
ybhD2	-	ybhH1	+
ybhD2	-	ybhH2	+
pstSCA	-	pstSCAB-phoU	-
pstSCA	-	pstB-phoU	-
pstSCA	-	pstS	-
pstSCA	-	pstCAB-phoU	-
pstSCA	-	pstB-phoU	-
pstSCA	-	pstCAB-phoU	-
pstSCA	-	pstSCAB-phoU	-
dps	-	dps	-
trpLEDCBA	-	trpCBA	-
trpLEDCBA	-	trpL	-
uxaB1	-	uxaB2	-
uxaB1	-	uxaB	-
uxaB2	-	uxaB	-
gnsA	+	gnsA	+
gnsA	+	ymcE-gnsA1	+
ecpBCDE	-	ecpBCDE	-
leuU	-	secG1	-
leuU	-	secG2	-
leuU	-	secG-leuU	-
degS	+	degQS	+
feaR	-	feaR	-
feaR	-	feaR	-
ybgIJKL-nei	+	ybgIJKL-nei	+
yhfK	+	crp	+
yhfK	+	crp	+
yhfK	+	crp	+
uxaCA	-	uxaCA	-
cbpA-cbpM	-	cbpA-cbpM	-
cbpA-cbpM	-	cbpAM	-
cbpA-cbpM	-	cbpA-cbpM	-
cbpA-cbpM	-	cbpAM	-
ymfJ1	-	ymfJ2	-
ymfJ1	-	ymfJ3	-
ymfJ1	-	ymfJ4	-
ymfJ1	-	ymfI1	+
ymfJ2	-	ymfJ3	-
ymfJ2	-	ymfJ4	-
ymfJ2	-	ymfI1	+
ymfJ3	-	ymfJ4	-
ymfJ3	-	ymfI1	+
ymfJ4	-	ymfI1	+
feaB	+	feaB	+
tesB	-	glnK-amtB	+
topA	+	topA	+
topA	+	topA	+
topA	+	topA	+
topA	+	topA	+
topA	+	topA	+
tyrS-pdxY	-	tyrS-pdxY	-
tyrS-pdxY	-	pdxY	-
tyrS-pdxY	-	pdxH-tyrS-pdxY	-
xseA	+	yfgJ	-
aroM	+	yaiA-aroM	+
aroM	+	aroL-yaiA-aroM	+
leuLABCD	-	leuL	-
leuLABCD	-	leuLABCD	-
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA-yeaD	+
gapA	+	gapA	+
rsmB1	+	def-fmt	+
caiCDE	-	caiTABCDE	-
rsuA1	-	rsuA2	-
idi1	+	idi2	+
idi1	+	idi3	+
idi1	+	idi4	+
idi2	+	idi3	+
idi2	+	idi4	+
idi3	+	idi4	+
chaC	+	chaBC	+
argE	-	argE	-
argE	-	argCBH	+
gapA	+	gapA	+
gapA	+	gapA-yeaD	+
gapA	+	gapA	+
amiC1	-	amiC2	-
amiC2	-	argA	+
yfiM1	+	pssA	+
yfiM1	+	kgtP1	-
yfiM1	+	kgtP2	-
yfiM1	+	kgtP3	-
mglBAC	-	mglAC	-
yhaJ1	-	yhaJ2	-
mdh	-	mdh	-
yobA-yebZY	-	sdsR-pphA	-
trkG1	+	trkG2	+
trkG1	+	trkG3	+
trkG1	+	ynaK-ydaY2	+
trkG2	+	trkG3	+
trkG2	+	ynaK-ydaY2	+
trkG3	+	ynaK-ydaY2	+
mfd	-	mfd	-
asnU	+	yeeO2	-
asnU	+	cbl	-
yceD-rpmF	+	sraB	+
yceD-rpmF	+	rpmF-plsX-fabHDG	+
yceD-rpmF	+	yceF3	-
yceD-rpmF	+	yceF4	-
yceD-rpmF	+	yceD-rpmF	+
mdtEF	+	mdtEF	+
mdtEF	+	gadEF-mdtEF	+
mdtEF	+	gadE-mdtEF	+
mdtEF	+	mdtEF	+
epd-pgk	-	epd-pgk	-
epd-pgk	-	epd-pgk-fbaA	-
epd-pgk	-	pgk-fbaA	-
epd-pgk	-	pgk-fbaA	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk-fbaA	-
rpoBC	+	rplKAJL-rpoBC	+
rpoBC	+	rplJL-rpoBC	+
fepDGC	-	fes-ybdZ-entF-fepE	+
fepDGC	-	fepDGC	-
ilvY	-	ilvEDA	+
ilvY	-	ilvLXG_1G_2MEDA	+
ilvY	-	ilvLXG_1G_2MEDA	+
ilvY	-	ilvA	+
ilvY	-	ilvY	-
yghT1	+	yghT2	+
yghT1	+	yghT3	+
yghT1	+	yghT4	+
yghT1	+	yghT5	+
yghT1	+	yghT6	+
yghT1	+	yghT7	+
yghT1	+	yghSR	-
yghT2	+	yghT3	+
yghT2	+	yghT4	+
yghT2	+	yghT5	+
yghT2	+	yghT6	+
yghT2	+	yghT7	+
yghT3	+	yghT4	+
yghT3	+	yghT5	+
yghT3	+	yghT6	+
yghT3	+	yghT7	+
yghT4	+	yghT5	+
yghT4	+	yghT6	+
yghT4	+	yghT7	+
yghT5	+	yghT6	+
yghT5	+	yghT7	+
yghT6	+	yghT7	+
talA	+	talA-tktB	+
talA	+	tktB	+
yecH1	-	yecH2	-
yecH1	-	tyrP	+
yecH2	-	tyrP	+
fliDST	+	fliDST	+
fliDST	+	amyA	+
hslJ	-	ydbJ	+
gnsA	+	ymcE-gnsA1	+
yefM-yoeB	-	yeeZ1	-
dcrB1	+	dcrB2	+
dcrB1	+	dcrB3	+
dcrB1	+	dcrB4	+
dcrB2	+	dcrB3	+
dcrB2	+	dcrB4	+
dcrB3	+	dcrB4	+
mtlADR	+	yibT1	-
mtlADR	+	yibT2	-
glmY	-	glmY	-
cbpA-cbpM	-	cbpAM	-
cbpA-cbpM	-	cbpA-cbpM	-
cbpA-cbpM	-	cbpAM	-
cbrA1	+	yidR1	-
cbrA1	+	dgoRKADT	-
ycjMNOPQRSTUV-ymjB-ompG	+	ompG	+
dgkA	+	dgkA	+
dgkA	+	plsB	-
dgkA	+	plsB	-
epd-pgk	-	epd-pgk-fbaA	-
epd-pgk	-	pgk-fbaA	-
epd-pgk	-	pgk-fbaA	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk	-
epd-pgk	-	pgk-fbaA	-
pflB	-	focA-pflB	-
pflB	-	pflB	-
pflB	-	pflB	-
pflB	-	pflB	-
pflB	-	pflB	-
pflB	-	focA-pflB	-
kdsC-lptCAB	+	kdsC-lptCAB	+
kdsC-lptCAB	+	kdsC-lptCAB	+
kdsC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
kdsC-lptCAB	+	lptAB	+
kdsC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
kdsC-lptCAB	+	yrbG-kdsDC-lptCAB	+
kdsC-lptCAB	+	yrbG-kdsD	+
ybgA-phr	+	phr	+
cbpAM	-	cbpA-cbpM	-
cbpAM	-	cbpAM	-
gadEF	+	arrS	-
gadEF	+	gadEF-mdtEF	+
gadEF	+	gadE-mdtEF	+
gadEF	+	arrS	-
dnaKJ	+	dnaKJ	+
dnaKJ	+	tpke11	+
dnaKJ	+	dnaKJ	+
ybeD-lipB	-	ybeD-lipB	-
ybeD-lipB	-	ybeD1	-
ybeD-lipB	-	ybeD2	-
ybeD-lipB	-	lipB1	-
ybeD-lipB	-	lipB2	-
pcnB-folk	-	pcnB-folK	-
pcnB-folk	-	pcnB-folK	-
pcnB-folk	-	pcnB-folK	-
pcnB-folk	-	dksA-gluQ	-
pcnB-folk	-	pcnB-folK	-
ompN	-	ydbK-ompN	-
ompN	-	ydbK-ompN	-
kdsC-lptCAB	+	kdsC-lptCAB	+
kdsC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
kdsC-lptCAB	+	lptAB	+
kdsC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
kdsC-lptCAB	+	yrbG-kdsDC-lptCAB	+
kdsC-lptCAB	+	yrbG-kdsD	+
thrU-tyrU-glyT-thrT-tufB	+	secE-nusG	+
ompR-envZ	-	ompR-envZ	-
ompR-envZ	-	ompR-envZ	-
ompR-envZ	-	ompR-envZ	-
acnA	+	acnA	+
acnA	+	ymiA-yciX	+
acnA	+	acnA	+
ahpCF	+	ahpF	+
ahpCF	+	ahpCF	+
chiZPQ	+	chiQ	+
ycgR	-	ymgE1	+
ppiA	-	ppiA	-
ppiA	-	ppiA	-
ppiA	-	ppiA	-
elbB-mtgA	-	yrbL	+
hinT-ycfL-lpoB-thiK-nagZ-ycfP1	+	hinT-ycfL-lpoB-thiK-nagZ-ycfP2	+
hinT-ycfL-lpoB-thiK-nagZ-ycfP1	+	hinT-ycfL-lpoB-thiK-nagZ-ycfP3	+
hinT-ycfL-lpoB-thiK-nagZ-ycfP2	+	hinT-ycfL-lpoB-thiK-nagZ-ycfP3	+
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
insMI3	-	insN-2	+
pstSCAB-phoU	-	pstB-phoU	-
pstSCAB-phoU	-	pstS	-
pstSCAB-phoU	-	pstCAB-phoU	-
pstSCAB-phoU	-	pstB-phoU	-
pstSCAB-phoU	-	phoU	-
pstSCAB-phoU	-	pstB-phoU	-
pstSCAB-phoU	-	pstCAB-phoU	-
pstSCAB-phoU	-	pstSCAB-phoU	-
gcvA	-	ygdD1	-
yjbEFGH	+	yjbE	+
yjbEFGH	+	yjbEFGH	+
metH	+	metH	+
metH	+	iclR	-
kefGB-yheV	-	slyD1	-
rpoE-rseABC	-	rseABC	-
rpoE-rseABC	-	rseD-rpoE-rseABC	-
rpoE-rseABC	-	rseD-rpoE-rseABC	-
rpoE-rseABC	-	rseD-rpoE-rseABC	-
rpoE-rseABC	-	rpoE-rseABC	-
rpoE-rseABC	-	rpoE-rseABC	-
rpoE-rseABC	-	rpoE-rseABC	-
pdxI1	+	ydbD	+
mrcA	+	hofMNOP	-
hyaABCDEF	+	hyaABCDEF	+
rpmBG	-	rpmBG-mutM	-
rpmBG	-	mutM1	-
rpmBG	-	yicR-rpmBG	-
rpmBG	-	yicR-rpmBG-mutM	-
istR-1	-	istR-2	-
nlpC1	-	nlpC2	-
nlpC2	-	btuD	-
nlpC2	-	btuCED	-
ilvL	+	ilvLXG_1G_2MEDA	+
ilvL	+	ilvLXG_1G_2MEDA	+
ilvL	+	ilvL	+
umpG-pcm	-	truD	-
lacZYA	-	lacZYA	-
lacZYA	-	lacZYA	-
lacZYA	-	cynTSX	+
lacZYA	-	lacZYA	-
yeaGH	+	yeaGH	+
ompR-envZ	-	ompR-envZ	-
ompR-envZ	-	ompR-envZ	-
ompR-envZ	-	greB2	+
gor	+	gor	+
gor	+	rlmJ	+
rsmG1	-	mnmG-rsmG	-
rsmG1	-	mnmG-rsmG	-
rsmG1	-	asnC-mioC-mnmG	-
rne	-	yceQ1	+
rne	-	rne	-
rne	-	rne	-
rne	-	rne	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
cirA	-	cirA	-
gltX	-	gltX	-
gltX	-	gltX	-
acpP	+	fabG-acpP	+
acpP	+	fabDG-acpP	+
acpP	+	acpP-fabF	+
yfdX	-	yfdV	-
yfdX	-	frc	-
yfdX	-	oxc1	-
yfdX	-	oxc2	-
yfdX	-	yfdE	-
rsxABCDGE-nth	+	ydgK-rsxABCDGE-nth	+
livKHMGF	-	livKHMGF	-
yeaQ1	-	yeaQ2	-
yadV-htrE	-	yadV-htrE	-
yadV-htrE	-	yadV-htrE	-
epd-pgk-fbaA	-	pgk-fbaA	-
epd-pgk-fbaA	-	pgk-fbaA	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk-fbaA	-
yjgD	+	rraB	+
ybiX1	-	fiu	-
tesA-ybbO	-	ybbN	-
tesA-ybbO	-	ybbAP	+
dadAX	+	dadAX	+
dadAX	+	dadAX	+
symR	+	symE	-
fabF	+	pabC-mltG-tmk-holB-ycfH3	+
fabF	+	acpP-fabF	+
ppiA	-	ppiA	-
ppiA	-	ppiA	-
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
ldrC1	-	rdlC1	+
ycgZ-ymgA-ariR-ymgC	+	ycgZ-ymgA-ariR-ymgC	+
ycgZ-ymgA-ariR-ymgC	+	ariR	+
ycgZ-ymgA-ariR-ymgC	+	ymgC	+
uppS-cdsA	+	uppS-cdsA	+
uppS-cdsA	+	dxr-uppS-cdsA1	+
uppS-cdsA	+	dxr-uppS-cdsA2	+
uppS-cdsA	+	dxr-uppS-cdsA3	+
uppS-cdsA	+	dxr-uppS-cdsA4	+
uppS-cdsA	+	rseP	+
uppS-cdsA	+	cdsA1	+
uppS-cdsA	+	cdsA2	+
ygaC	-	ygaM	+
rph-pyrE	-	rph	-
macB1	+	macB2	+
macB1	+	macAB	+
macB2	+	macAB	+
csrA	-	csrAp3 // csrA	-
csrA	-	csrA	-
csrA	-	csrA	-
csrA	-	csrA	-
csrA	-	csrA	-
eno	-	eno	-
eno	-	eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	eno	-
frdABCD	-	frdABCD	-
dcuD	+	dcuD	+
leuO	+	leuO	+
leuO	+	leuO	+
leuO	+	leuO	+
micA	+	luxS	-
micA	+	luxS	-
insH-51	-	stfR-tfaR	+
insH-51	-	ynaA-lomR	+
pcnB-folK	-	pcnB-folK	-
pcnB-folK	-	pcnB-folK	-
pcnB-folK	-	dksA-gluQ	-
pcnB-folK	-	pcnB-folK	-
recAX	-	recA	-
aspS	-	nudB-yebC-ruvC	-
aspS	-	aspS	-
glk	-	glk	-
glk	-	glk	-
tcyJ	-	fliAZY	-
tcyJ	-	fliAZY	-
thrLABC	+	thrL	+
thrLABC	+	yaaX1	+
malY	+	malXY	+
ymdB	+	clsC	+
ymdB	+	ymdAB-clsC	+
ymdB	+	ymdB-clsC	+
ymdB	+	ymdAB	+
yeaP	+	yoaF1	-
dacB1	+	greA	-
phoA-psiF	+	psiF	+
ygiV1	-	ygiV2	-
ygiV1	-	ygiW1	-
ygiV1	-	ygiW2	-
ygiV2	-	ygiW1	-
ygiV2	-	ygiW2	-
rpmBG-mutM	-	mutM	-
rpmBG-mutM	-	mutM1	-
rpmBG-mutM	-	mutM2	-
rpmBG-mutM	-	yicR-rpmBG	-
rpmBG-mutM	-	yicR-rpmBG-mutM	-
ivy1	+	ivy2	+
bioP	+	metR	-
bioP	+	metR	-
dmsC	+	dmsABC	+
crp	+	crp	+
crp	+	crp	+
ftsQ	+	ftsQAZ	+
ftsQ	+	ftsQAZ	+
ftsQ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
nlpD-rpoS	-	rpoS	-
nlpD-rpoS	-	rpoS	-
nlpD-rpoS	-	rpoS	-
nlpD-rpoS	-	nlpD-rpoS	-
nlpD-rpoS	-	rpoS	-
nlpD-rpoS	-	rpoS	-
tldD1	-	tldD2	-
proVWX	+	proVWX	+
proVWX	+	proVWX	+
proVWX	+	proVWX	+
yadD1	+	yadD2	+
yadD1	+	yadD3	+
yadD2	+	yadD3	+
ruvAB	-	ruvAB	-
ldcA1	-	emtA1	+
sra	-	bdm-sra	-
csrAp3 // csrA	-	csrA	-
csrAp3 // csrA	-	csrA	-
csrAp3 // csrA	-	csrA	-
csrAp3 // csrA	-	csrA	-
proVWX	+	proVWX	+
proVWX	+	proVWX	+
cmr	+	cmr	+
gltA	-	gltA	-
ptsG	+	ptsG	+
nanXY	+	nanY	+
nanXY	+	nanY	+
chiX	+	ybaP1	-
chiX	+	ybaP2	-
chiX	+	ybaP3	-
yhhN1	+	yhhN2	+
yhhN1	+	yhhM2	-
yhhN2	+	yhhM1	-
yhhN2	+	yhhM2	-
ascB	+	ascFB	+
otsA	-	otsBA	-
otsA	-	otsBA	-
yfgM	-	bamB-der	-
yfgM	-	yfgM	-
yfgM	-	yfGM	-
asnC	-	asnC-mioC	-
asnC	-	asnC-mioC-mnmG	-
hemL	-	hemL	-
rpoS	-	rpoS	-
rpoS	-	rpoS	-
rpoS	-	nlpD-rpoS	-
rpoS	-	rpoS	-
rpoS	-	rpoS	-
mdoGH	+	mdoGH	+
mdoGH	+	mdoGH	+
mutY-yggX	+	yggX-mltC-nupG	+
mutY-yggX	+	mutY-yggX-mltC	+
mutY-yggX	+	mutY-yggX	+
mutY-yggX	+	mutY-yggX-mltC	+
mutY-yggX	+	yggX-mltC	+
mutY-yggX	+	yggX	+
mutY-yggX	+	mutY-yggX-mltC-nupG	+
mutY-yggX	+	mutY-yggX-mltC-nupG	+
damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-
damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
damX-dam-rpe-gph-trpS	-	trpS	-
damX-dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
rapA	-	hepA	-
rapA	-	rapA-rluA	-
rapA	-	polB	-
fliLMNOPQR	+	fliLMNOPQR	+
yfaVU	-	yfaXWVU	-
arcA	-	arcA	-
arcA	-	yjjY1	+
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	creABCD	+
arcA	-	creD	+
arcA	-	arcA	-
yejG	-	yejG	-
pcnB-folK	-	pcnB-folK	-
pcnB-folK	-	pcnB-folK	-
mpl	+	mpl	+
mpl	+	mpl	+
btuD	-	btuE	-
btuD	-	btuE	-
btuD	-	btuCED	-
yeiR-lpxT1	+	lpxT	+
gntT	+	gntT	+
yhdJ1	+	yhdU1	+
yhdJ1	+	dusB-fis	+
leuO	+	leuO	+
leuO	+	leuO	+
ybaN1	+	ybaN2	+
ybaN1	+	ybaN3	+
ybaN1	+	ybaN4	+
ybaN2	+	ybaN3	+
ybaN2	+	ybaN4	+
ybaN3	+	ybaN4	+
ybaN3	+	priC-ybaM	-
aes	-	hemH	+
aes	-	gsk	+
ybaQ	+	ybaP1	-
ybaQ	+	ybaP2	-
ybaQ	+	ybaP3	-
ynfC1	-	ynfD1	+
pepA	-	pepA	-
pepA	-	pepA	-
kdsC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
kdsC-lptCAB	+	lptAB	+
kdsC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
kdsC-lptCAB	+	yrbG-kdsDC-lptCAB	+
kdsC-lptCAB	+	yrbG-kdsD	+
yiiM1	+	yiiM2	+
nudG1	+	ynjH	-
nudG1	+	ynjH	-
opgD1	+	opgD2	+
opgD1	+	opgD3	+
opgD1	+	opgD4	+
opgD2	+	opgD3	+
opgD2	+	opgD4	+
opgD3	+	opgD4	+
cybB1	+	cybB2	+
cybB1	+	cybB3	+
cybB2	+	cybB3	+
sdiA	-	sdiA	-
sdiA	-	sdiA1	-
sdiA	-	sdiA2	-
sdiA	-	sdiA3	-
sdiA	-	sdiA4	-
sdiA	-	sdiA5	-
sdiA	-	sdiA6	-
sdiA	-	sdiA7	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdsN	+
rtcR	+	glpEGR	-
rtcR	+	glpR	-
rtcR	+	glpGR	-
rtcR	+	glpR	-
yfbO1	+	yfbO2	+
yfbO1	+	yfbO3	+
yfbO1	+	yfbN1	-
yfbO1	+	yfbP1	+
yfbO2	+	yfbO3	+
yfbO2	+	yfbN1	-
yfbO2	+	yfbN2	-
yfbO2	+	yfbP1	+
yfbO3	+	yfbN1	-
yfbO3	+	yfbN2	-
yfbO3	+	yfbP1	+
yqeF1	-	yqeF2	-
yqeF1	-	yqeF3	-
yqeF2	-	yqeF3	-
yqeF2	-	yqeG1	+
yqeF2	-	yqeG3	+
rimP-nusA-infB	-	metY-yhbC-nusA-infB	-
rimP-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
rimP-nusA-infB	-	nusA-infB	-
rimP-nusA-infB	-	metY	-
rimP-nusA-infB	-	metY	-
moaBCDE	+	moaABCDE	+
moaBCDE	+	moaABCDE	+
yfiR-dgcN-yfiB	+	rpsP-rimM-trmD-rplS	-
yfiR-dgcN-yfiB	+	yfiRN	+
acnA	+	acnA	+
pdhR-aceEF-lpdA	+	aceEF	+
pdhR-aceEF-lpdA	+	pdhR-aceEF-lpdA	+
pdhR-aceEF-lpdA	+	lpdA	+
pdhR-aceEF-lpdA	+	aceEF	+
nrdG	-	nrdDG	-
nhaAR	+	nhaAR	+
leuL	-	leuLABCD	-
glmUS	-	glmUS	-
rhtC1	+	recQ	+
mnmG-rsmG	-	mnmG-rsmG	-
mnmG-rsmG	-	asnC-mioC-mnmG	-
fucR	+	fucPIKUR	+
alsRBACE	-	alsRBACE	-
alsRBACE	-	alsK1	-
alsRBACE	-	alsBACE	-
ilvEDA	+	ilvLXG_1G_2MEDA	+
ilvEDA	+	ilvLXG_1G_2MEDA	+
ilvEDA	+	ilvA	+
ilvEDA	+	ilvY	-
hisLGDCBHAFI	+	hisL	+
cmk-rpsA	+	rpsA-ihfB	+
yeeO1	-	yeeO2	-
yeeO1	-	yeeO3	-
yeeO2	-	yeeO3	-
ydhYVW	-	ydhYVWXUT	-
yhbY	+	rlmE-ftsH	-
metG	+	metG	+
tig1	+	tig2	+
tig1	+	tig3	+
tig1	+	tig	+
tig1	+	tig	+
tig2	+	tig3	+
tig2	+	tig	+
tig2	+	tig	+
tig3	+	tig	+
tig3	+	tig	+
iap1	+	iap2	+
rrsA-ileT-alaT-rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
rnc-era-recO-pdxJ-acpS	-	rnc-era	-
rnc-era-recO-pdxJ-acpS	-	pdxJ-acpS	-
tdcBCDEFG	-	tdcABCDEFG	-
ftsQAZ	+	stfZ	-
ftsQAZ	+	ftsQAZ	+
ftsQAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	ftsZ	+
ftsQAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	stfZ	-
ftsQAZ	+	stfZ	-
ftsQAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
