Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
yiiM	[yiiM 4,102,822 &rarr; 4,103,496]	+			yiiM
mreB	[mreB 3,400,005 &larr; 3,401,356]	-	mreBp3	[mreBp3 3,401,356]	mreB
lon	[lon 458,815 &rarr; 461,242]	+	lonp	[lonp 458,815]	lon
cybB	[cybB 1,490,902 &rarr; 1,491,432]	+			cybB
aes	[aes 498,945 &larr; 500,051]	-	aesp	[aesp 500,051]	aes
acnA	[acnA 1,335,424 &rarr; 1,338,506]	+	acnAp1	[acnAp1 1,335,424]	ymiC // acnA
nanXY	[nanXY 4,504,020 &rarr; 4,506,405]	+	yjhBp2	[yjhBp2 4,504,020]	nanY // nanX
tapT-patZ	[tapT-patZ 2,719,223 &rarr; 2,722,613]	+			patZ // tapT
yggDC	[yggDC 3,073,976 &larr; 3,075,225]	-	fumEp	[fumEp NIL &larr; NIL]	yggC // fumE
topA	[topA 1,330,724 &rarr; 1,333,645]	+	topAp1	[topAp1 1,330,980]	topA
fabF	[fabF 1,151,939 &rarr; 1,153,180]	+			fabF
dgkA	[dgkA 4,256,457 &rarr; 4,257,005]	+	dgkAp1	[dgkAp1 4,256,457]	dgkA
rimP-nusA-infB	[rimP-nusA-infB 3,313,185 &larr; 3,318,175]	-	rimPp	[rimPp 3,318,175]	rimP // infB // nusA
yeaGH	[yeaGH 1,866,815 &rarr; 1,870,238]	+	yeaGp1	[yeaGp1 1,866,815]	yeaH // yeaG
yggG	[yggG 3,081,892 &rarr; 3,082,671]	+	loiPp	[loiPp 3,081,892]	loiP
focA-pflB	[focA-pflB 951,207 &larr; 954,493]	-	focAp1	[focAp1 954,493]	pflB // focA
rsmB	[rsmB 3,435,207 &rarr; 3,436,496]	+			rsmB
yfbO	[yfbO 2,388,635 &rarr; 2,389,057]	+			yfbO
ppiA	[ppiA 3,491,725 &larr; 3,492,395]	-	ppiAp2	[ppiAp2 3,492,395]	ppiA
stpA	[stpA 2,798,091 &larr; 2,798,556]	-	stpAp2	[stpAp2 2,798,556]	stpA
proVWX	[proVWX 2,804,563 &rarr; 2,808,124]	+	proVp	[proVp 2,804,563]	proX // proW // proV
rybA-mntS	[rybA-mntS 852,725 &larr; 853,064]	-	rybAp	[rybAp 853,064]	rybA // mntS
yghZ	[yghZ 3,147,897 &rarr; 3,148,937]	+			gpr
rnc-era	[rnc-era 2,702,481 &larr; 2,704,223]	-	rncp	[rncp 2,704,223]	era // rnc
mdtEF	[mdtEF 3,659,140 &rarr; 3,663,527]	+	mdtEp2	[mdtEp2 3,659,140]	mdtF // mdtE
frdABCD	[frdABCD 4,378,966 &larr; 4,382,412]	-	frdAp	[frdAp 4,382,412]	frdD // frdC // frdB // frdA
yceH	[yceH 1,126,157 &rarr; 1,126,804]	+			yceH
dut-slmA	[dut-slmA 3,813,852 &rarr; 3,815,090]	+	dutp	[dutp 3,813,852]	slmA // dut
relBE	[relBE 1,645,346 &larr; 1,645,872]	-			relB // relE
ymdB	[ymdB 1,105,803 &rarr; 1,106,353]	+	ymdBp	[ymdBp 1,105,803]	ymdB
thrLABC	[thrLABC 148 &rarr; 5,086]	+	thrLp	[thrLp 148]	thrL // thrA // thrB // thrC
cadC	[cadC 4,360,396 &larr; 4,361,963]	-	cadCp	[cadCp 4,361,963]	cadC
dnaB	[dnaB 4,264,283 &rarr; 4,265,729]	+	dnaBp	[dnaBp 4,264,283]	dnaB
yncG	[yncG 1,526,228 &rarr; 1,526,864]	+	yncGp	[yncGp 1,526,228]	yncG
arrS	[arrS 3,657,985 &larr; 3,658,054]	-	arrSp	[arrSp 3,658,054]	arrS
cobUST	[cobUST 2,063,388 &larr; 2,065,972]	-	cobUp2	[cobUp2 2,065,972]	cobT // cobS // cobU
cydAB	[cydAB 771,116 &rarr; 774,181]	+	cydAp3	[cydAp3 771,202]	cydB // cydA
yegL-pphC	[yegL-pphC 2,151,711 &larr; 2,153,128]	-			yegL // pphC
micA	[micA 2,814,802 &rarr; 2,814,874]	+	micAp	[micAp 2,814,802]	micA
otsA	[otsA 1,980,096 &larr; 1,981,651]	-	otsAp	[otsAp 1,981,651]	otsA
yobA-yebZY	[yobA-yebZY 1,923,365 &larr; 1,924,969]	-			yobA // yebZ // yebY
ycgZ-ymgA-ariR-ymgC	[ycgZ-ymgA-ariR-ymgC 1,215,752 &rarr; 1,216,996]	+	ycgZp2	[ycgZp2 1,215,752]	ymgC // ariR // ymgA // ycgZ
yiaU	[yiaU 3,751,992 &rarr; 3,752,966]	+			yiaU
pheV	[pheV 3,110,290 &rarr; 3,110,477]	+	pheVp	[pheVp 3,110,365]	pheV
ybeQ	[ybeQ 675,570 &larr; 676,547]	-			ybeQ
mlrA	[mlrA 2,214,840 &rarr; 2,215,597]	+	mlrAp	[mlrAp 2,214,840]	mlrA
pyrC	[pyrC 1,121,561 &larr; 1,122,643]	-	pyrCp	[pyrCp 1,122,643]	pyrC
dinB-yafNOP	[dinB-yafNOP 250,880 &rarr; 253,161]	+	dinBp2	[dinBp2 250,880]	yafP // yafO // yafN // dinB
ugd	[ugd 2,098,447 &larr; 2,099,613]	-			ugd
ydbK-ompN	[ydbK-ompN 1,435,760 &larr; 1,440,846]	-	ydbKp4	[ydbKp4 1,440,846]	ompN // ydbK
cspI	[cspI 1,638,455 &larr; 1,638,712]	-	cspIp2	[cspIp2 1,638,712]	cspI
rph	[rph 3,815,807 &larr; 3,816,580]	-	rphp	[rphp 3,816,580]	rph
rpsF-priB-rpsR-rplI	[rpsF-priB-rpsR-rplI 4,425,025 &rarr; 4,426,557]	+	rpsFp	[rpsFp 4,425,025]	rpsF // priB // rpsR // rplI
cra	[cra 87,947 &rarr; 89,032]	+	fruRp8	[fruRp8 87,947]	cra
ylaC	[ylaC 478,781 &larr; 479,288]	-	ylaCp	[ylaCp 479,288]	ylaC
csrD	[csrD 3,401,392 &larr; 3,403,332]	-			csrD
insQ	[insQ 1,503,657 &rarr; 1,504,865]	+			insQ
groL	[groL 4,370,783 &rarr; 4,372,671]	+	groLp1	[groLp1 4,370,783]	groL
yegW	[yegW 2,182,035 &larr; 2,182,811]	-	yegWp	[yegWp NIL &larr; NIL]	yegW
eda	[eda 1,932,085 &larr; 1,932,799]	-	edap2	[edap2 1,932,799]	eda
pdeD	[pdeD 1,898,427 &rarr; 1,900,025]	+			pdeD
yoaI	[yoaI 1,874,078 &larr; 1,874,182]	-			yoaI
yggN	[yggN 3,100,904 &larr; 3,101,640]	-	yggNp2b	[yggNp2b 3,101,640]	yggN
ygjV	[ygjV 3,241,193 &larr; 3,241,744]	-			ygjV
yqfA	[yqfA 3,042,489 &larr; 3,043,148]	-			trhA
zapC	[zapC 1,005,952 &rarr; 1,006,494]	+			zapC
tauABCD	[tauABCD 385,003 &rarr; 388,646]	+	tauAp	[tauAp 385,205]	tauD // tauC // tauB // tauA
clpA	[clpA 923,092 &rarr; 925,540]	+	clpAp2	[clpAp2 923,092]	clpA
ynbABCD	[ynbABCD 1,477,597 &rarr; 1,482,201]	+	ynbAp	[ynbAp 1,477,597]	ynbD // ynbC // ynbB // ynbA
yoaA	[yoaA 1,891,325 &larr; 1,893,235]	-			yoaA
bolA	[bolA 454,349 &rarr; 454,865]	+	bolAp2	[bolAp2 454,349]	bolA
pheU	[pheU 4,362,509 &larr; 4,362,627]	-	pheUp	[pheUp 4,362,627]	pheU
rcnR	[rcnR 2,185,524 &larr; 2,185,903]	-	rcnRp	[rcnRp 2,185,903]	rcnR
allS	[allS 531,295 &larr; 532,300]	-	allSp	[allSp 532,300]	allS
holC-valS	[holC-valS 4,480,982 &larr; 4,484,280]	-	holCp	[holCp 4,484,273]	valS // holC
ydeP	[ydeP 1,584,207 &larr; 1,586,664]	-	ydePp	[ydePp 1,586,664]	ydeP
htrG-cca	[htrG-cca 3,201,042 &rarr; 3,203,129]	+	ygiMp2	[ygiMp2 3,201,042]	cca // ygiM
serW	[serW 925,843 &larr; 926,006]	-	serWp2	[serWp2 926,006]	serW
gadEF-mdtEF	[gadEF-mdtEF 3,658,146 &rarr; 3,663,527]	+	gadEp2	[gadEp2 3,658,345]	gadF // mdtF // mdtE // gadE
yidP	[yidP 3,863,899 &rarr; 3,864,615]	+			yidP
cspE	[cspE 657,250 &rarr; 657,501]	+	cspEp2	[cspEp2 657,250]	cspE
mnt-btuF-yadS	[mnt-btuF-yadS 177,001 &larr; 179,183]	-	mtnp2	[mtnp2 179,183]	mtn // btuF // yadS
mazE	[mazE 2,911,091 &larr; 2,911,339]	-			mazE
pliG	[pliG 1,227,071 &larr; 1,227,472]	-			pliG
dinI	[dinI 1,121,242 &larr; 1,121,509]	-	dinIp	[dinIp 1,121,509]	dinI
sraG	[sraG 3,311,183 &rarr; 3,311,398]	+	sraGp	[sraGp 3,311,183]	sraG
panE-yajL	[panE-yajL 443,051 &larr; 444,515]	-			panE // yajL
gfcE-etp-etk	[gfcE-etp-etk 1,042,030 &larr; 1,045,803]	-			gfcE // etp // etk
ygbA	[ygbA 2,856,453 &larr; 2,856,828]	-	ygbAp	[ygbAp 2,856,828]	ygbA
yiaWV	[yiaWV 3,752,963 &larr; 3,754,428]	-			yiaW // yiaV
metE	[metE 4,012,822 &rarr; 4,015,314]	+	metEp	[metEp 4,012,884]	metE
letAB	[letAB 1,916,258 &rarr; 1,920,143]	+			letB // letA
zitB	[zitB 783,882 &larr; 784,823]	-			zitB
ssrA	[ssrA 2,755,586 &rarr; 2,755,955]	+	ssrAp	[ssrAp 2,755,586]	ssrA
rfaQGPSBIJYZ-waaU	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,180]	-	waaQp	[waaQp 3,808,180]	waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ
fabI	[fabI 1,350,251 &larr; 1,351,121]	-	fabIp	[fabIp 1,351,121]	fabI
yaaJ	[yaaJ 6,529 &larr; 7,959]	-			yaaJ
sad-glsB-yneG	[sad-glsB-yneG 1,611,966 &larr; 1,614,703]	-			yneG // glsB // sad
racC	[racC 1,417,488 &larr; 1,417,763]	-			racC
ygcW	[ygcW 2,899,488 &larr; 2,900,273]	-			ygcW
yfjPQ	[yfjPQ 2,767,710 &rarr; 2,769,486]	+			yfjQ // yfjP
fimB	[fimB 4,540,809 &rarr; 4,541,559]	+	fimBp1	[fimBp1 4,540,809]	fimB
ynjF	[ynjF 1,840,783 &larr; 1,841,432]	-	ynjFp	[ynjFp 1,841,432]	ynjF
rpsI	[rpsI 3,377,756 &larr; 3,378,207]	-			rpsI
iprA	[iprA 394,506 &rarr; 395,129]	+			iprA
gltA	[gltA 753,126 &larr; 754,670]	-	gltAp2	[gltAp2 754,670]	gltA
gapA	[gapA 1,862,555 &rarr; 1,863,766]	+	gapAp3	[gapAp3 1,862,597]	gapA
allA	[allA 532,337 &rarr; 532,933]	+	allAp	[allAp 532,390]	allA
lysU	[lysU 4,353,200 &larr; 4,354,797]	-	lysUp2	[lysUp2 4,354,797]	lysU
murQP	[murQP 2,545,741 &rarr; 2,548,097]	+	murQp2	[murQp2 2,545,741]	murP // murQ
ryhB	[ryhB 3,580,922 &larr; 3,581,016]	-	yhhXp5	[yhhXp5 3,581,016]	ryhB
mreBCD	[mreBCD 3,398,387 &larr; 3,401,129]	-	mreBp1	[mreBp1 3,401,129]	mreD // mreC // mreB
yedEF	[yedEF 2,008,277 &rarr; 2,009,712]	+			yedF // yedE
gadE-mdtEF	[gadE-mdtEF 3,658,062 &rarr; 3,663,527]	+	gadEp4	[gadEp4 3,658,062]	gadF // mdtF // mdtE // gadE
dnaTC	[dnaTC 4,600,139 &larr; 4,601,615]	-	dnaTp	[dnaTp 4,601,615]	dnaC // dnaT
ascG	[ascG 2,838,254 &larr; 2,839,264]	-			ascG
tar-tap-cheRBYZ	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,716]	-	tarp	[tarp 1,972,716]	cheZ // cheY // cheB // cheR // tap // tar
ssrS	[ssrS 3,055,759 &rarr; 3,056,283]	+	ssrSp2	[ssrSp2 3,055,759]	ssrS
yggE	[yggE 3,067,340 &larr; 3,068,126]	-	yggEp1	[yggEp1 3,068,126]	yggE
yfdRST	[yfdRST 2,474,984 &rarr; 2,476,178]	+			yfdT // yfdS // yfdR
mutY-yggX-mltC	[mutY-yggX-mltC 3,102,988 &rarr; 3,105,512]	+	mutYp1	[mutYp1 3,102,988]	mltC // yggX // mutY
dcuB-fumB	[dcuB-fumB 4,345,631 &larr; 4,349,091]	-	dcuBp2	[dcuBp2 4,349,091]	fumB // dcuB
yibD	[yibD 3,789,047 &larr; 3,790,149]	-	yibDp1	[yibDp1 3,790,149]	waaH
yaeQ-arfB-nlpE	[yaeQ-arfB-nlpE 214,280 &rarr; 215,979]	+	yaeQp	[yaeQp 214,280]	nlpE // arfB // yaeQ
cyaA	[cyaA 3,990,790 &rarr; 3,993,699]	+	cyaAp1	[cyaAp1 3,990,790]	cyaA
fusA-tufA	[fusA-tufA 3,470,145 &larr; 3,473,685]	-	fusAp	[fusAp 3,473,685]	tufA // fusA
pflB	[pflB 951,207 &larr; 953,851]	-	pflBp4	[pflBp4 953,851]	pflB
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,733]	-	dnaNp1	[dnaNp1 3,882,733]	recF // dnaN
yrdA	[yrdA 3,429,206 &rarr; 3,429,790]	+	yrdAp	[yrdAp NIL &rarr; NIL]	yrdA
crp	[crp 3,485,861 &rarr; 3,486,792]	+	crpp3	[crpp3 3,486,025]	crp
ybgQPO	[ybgQPO 747,921 &larr; 752,169]	-			ybgQ // ybgP // ybgO
ybeD	[ybeD 662,379 &larr; 662,642]	-			ybeD
ddpXABCDF	[ddpXABCDF 1,557,112 &larr; 1,563,107]	-	ddpXp1	[ddpXp1 1,563,107]	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX
dps	[dps 848,408 &larr; 848,950]	-	dpsp2	[dpsp2 848,950]	dps
ebgAC	[ebgAC 3,222,551 &rarr; 3,226,171]	+	ebgAp	[ebgAp 3,222,551]	ebgA // ebgC
ldrD	[ldrD 3,699,899 &larr; 3,700,272]	-	ldrDp	[ldrDp 3,700,272]	ldrD
hicAB	[hicAB 1,509,275 &rarr; 1,509,924]	+	hicAp2	[hicAp2 1,509,275]	hicB // hicA
hns	[hns 1,292,461 &larr; 1,292,958]	-	hnsp	[hnsp 1,292,958]	hns
yfeKS	[yfeKS 2,537,315 &rarr; 2,538,483]	+	yfeKp	[yfeKp 2,537,315]	yfeS // yfeK
rem	[rem 1,644,651 &larr; 1,644,902]	-			rem
rnt-lhr	[rnt-lhr 1,728,320 &rarr; 1,733,740]	+	rntp	[rntp 1,728,320]	rnt // lhr
dcuD	[dcuD 3,374,539 &rarr; 3,376,236]	+	dcuDp2	[dcuDp2 3,374,583]	dcuD
hdeAB-yhiD	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	-	hdeAp	[hdeAp 3,656,791]	yhiD // hdeB // hdeA
yggX-mltC-nupG	[yggX-mltC-nupG 3,103,993 &rarr; 3,106,970]	+	yggXp	[yggXp 3,103,993]	nupG // mltC // yggX
zapE	[zapE 3,378,870 &larr; 3,379,997]	-			zapE
serX	[serX 1,096,979 &larr; 1,097,676]	-	serXp	[serXp 1,097,676]	serX
yiiX	[yiiX 4,127,286 &larr; 4,127,894]	-			yiiX
dusA	[dusA 4,261,669 &rarr; 4,262,706]	+			dusA
sdiA	[sdiA 1,996,110 &larr; 1,996,857]	-	sdiAp4	[sdiAp4 1,996,857]	sdiA
ydgK-rsxABCDGE-nth	[ydgK-rsxABCDGE-nth 1,705,207 &rarr; 1,712,158]	+	ydgKp	[ydgKp 1,705,207]	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK
hisJQMP	[hisJQMP 2,423,736 &larr; 2,426,837]	-	hisJp	[hisJp 2,426,837]	hisP // hisM // hisQ // hisJ
yahL	[yahL 344,176 &rarr; 344,991]	+			yahL
ybiJ	[ybiJ 837,665 &larr; 837,925]	-			ybiJ
glpEGR	[glpEGR 3,559,754 &larr; 3,561,849]	-	glpEp	[glpEp 3,561,849]	glpR // glpG // glpE
tufA	[tufA 3,470,145 &larr; 3,471,724]	-	tufAp1	[tufAp1 3,471,724]	tufA
malQ	[malQ 3,547,986 &larr; 3,550,399]	-	malQp	[malQp 3,550,399]	malQ
lysR	[lysR 2,978,950 &rarr; 2,979,956]	+	lysRp	[lysRp 2,978,950]	lysR
stpA	[stpA 2,798,091 &larr; 2,798,536]	-	stpAp1	[stpAp1 2,798,536]	stpA
acrD	[acrD 2,587,550 &rarr; 2,590,708]	+	acrDp2	[acrDp2 2,587,550]	acrD
gadW	[gadW 3,663,541 &larr; 3,664,651]	-	gadWp1	[gadWp1 3,664,651]	gadW
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,562]	-	dnaNp3	[dnaNp3 3,882,562]	recF // dnaN
hslO	[hslO 3,529,774 &rarr; 3,530,652]	+			hslO
entCEBA-ybdB	[entCEBA-ybdB 624,563 &rarr; 629,713]	+	entCp	[entCp 624,831]	entC // entE // entB // entA // entH
acs-yjcHG	[acs-yjcHG 4,283,253 &larr; 4,287,391]	-	acsp2	[acsp2 4,287,391]	actP // yjcH // acs
yccA	[yccA 1,030,701 &larr; 1,031,443]	-	yccAp	[yccAp 1,031,443]	yccA
eno	[eno 2,906,643 &larr; 2,908,702]	-	enop2	[enop2 2,908,702]	eno
ycgI	[ycgI 1,223,564 &rarr; 1,223,907]	+			ycgI
yaiA-aroM	[yaiA-aroM 406,949 &rarr; 408,105]	+	yaiAp	[yaiAp NIL &rarr; NIL]	aroM // yaiA
yfjJ	[yfjJ 2,760,547 &rarr; 2,761,173]	+			yfjJ
ycdXY	[ycdXY 1,098,879 &rarr; 1,100,194]	+			ycdY // ycdX
guaC	[guaC 113,444 &rarr; 114,487]	+			guaC
yecN-cmoAB	[yecN-cmoAB 1,952,266 &rarr; 1,954,413]	+			cmoB // cmoA // yecN
aroG	[aroG 785,553 &rarr; 786,821]	+	aroGp	[aroGp 785,591]	aroG
hemF	[hemF 2,552,952 &rarr; 2,554,124]	+	hemFp3	[hemFp3 2,552,952]	hemF
yfiL	[yfiL 2,741,360 &rarr; 2,741,725]	+			yfiL
ydgC	[ydgC 1,681,695 &larr; 1,682,030]	-			ydgC
fklB	[fklB 4,428,935 &rarr; 4,429,555]	+			fklB
lapAB	[lapAB 1,340,135 &rarr; 1,341,727]	+	lapAp1	[lapAp1 1,340,135]	lapB // lapA
rep	[rep 3,960,647 &rarr; 3,962,698]	+	repp	[repp 3,960,647]	rep
ahpF	[ahpF 639,002 &rarr; 641,318]	+	ahpFp	[ahpFp 639,002]	ahpF
cbrA	[cbrA 3,869,377 &rarr; 3,870,441]	+			cbrA
yjiS	[yjiS 4,571,751 &rarr; 4,571,915]	+			yjiS
pdxB-usg-truA-dedA	[pdxB-usg-truA-dedA 2,434,082 &larr; 2,437,884]	-	pdxBp	[pdxBp 2,437,884]	dedA // truA // usg // pdxB
yddLKJ	[yddLKJ 1,544,384 &larr; 1,546,028]	-			yddL // yddK // yddJ
oxyR	[oxyR 4,158,457 &rarr; 4,159,407]	+	oxyRp2	[oxyRp2 4,158,457]	oxyR
tpke70	[tpke70 2,496,194 &larr; 2,496,629]	-			tpke70
rcsDB	[rcsDB 2,313,452 &rarr; 2,316,827]	+	rcsDp	[rcsDp 2,313,452]	rcsB // rcsD
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,590]	-	dnaNp6	[dnaNp6 3,882,590]	recF // dnaN
tilS	[tilS 212,331 &rarr; 213,629]	+			tilS
livJ	[livJ 3,598,555 &larr; 3,599,762]	-	livJp	[livJp 3,599,762]	livJ
radA-nadR	[radA-nadR 4,625,912 &rarr; 4,628,547]	+			nadR // radA
ypdJ	[ypdJ 2,476,094 &rarr; 2,476,234]	+			ypdJ
fumC	[fumC 1,685,185 &larr; 1,686,709]	-	fumCp2	[fumCp2 1,686,709]	fumC
yfbN	[yfbN 2,387,710 &larr; 2,388,426]	-			yfbN
infA-serW	[infA-serW 925,884 &larr; 926,443]	-			serW // infA
ygjQ	[ygjQ 3,236,540 &rarr; 3,237,232]	+			ygjQ
yhhZ-yrhA-insA6AB6B6	[yhhZ-yrhA-insA6AB6B6 3,581,863 &rarr; 3,584,309]	+			insB6 // insA6 // insAB6 // yrhA // yhhZ
marRAB	[marRAB 1,619,012 &rarr; 1,620,207]	+	marRp	[marRp 1,619,093]	marR // marA // marB
ycjY	[ycjY 1,390,933 &larr; 1,392,072]	-	ycjYp6	[ycjYp6 1,392,072]	ycjY
yeaK	[yeaK 1,873,574 &rarr; 1,874,077]	+			yeaK
rhaT	[rhaT 4,099,491 &larr; 4,100,566]	-	rhaTp	[rhaTp 4,100,566]	rhaT
fbaB	[fbaB 2,177,512 &larr; 2,178,667]	-	fbaBp	[fbaBp 2,178,667]	fbaB
hdeD	[hdeD 3,656,960 &rarr; 3,657,567]	+	hdeDp2	[hdeDp2 3,656,960]	hdeD
dhaM	[dhaM 1,247,696 &larr; 1,249,144]	-	dhaMp	[dhaMp NIL &larr; NIL]	dhaM
smpB	[smpB 2,754,896 &rarr; 2,755,378]	+			smpB
yfaX-rhmD	[yfaX-rhmD 2,360,209 &larr; 2,362,211]	-			yfaX // rhmD
rplT	[rplT 1,799,363 &larr; 1,799,763]	-	rplTp	[rplTp 1,799,763]	rplT
hypF	[hypF 2,835,173 &larr; 2,838,014]	-	hypFp2	[hypFp2 2,838,014]	hypF
ldhA	[ldhA 1,441,854 &larr; 1,442,915]	-	ldhAp	[ldhAp 1,442,915]	ldhA
thrW	[thrW 262,775 &rarr; 262,946]	+	thrWp	[thrWp 262,841]	thrW
rpsT	[rpsT 20,771 &larr; 21,120]	-	rpsTp2	[rpsTp2 21,120]	rpsT
ykfGH-yafW-ykfI	[ykfGH-yafW-ykfI 263,328 &larr; 264,762]	-	ykfGp	[ykfGp NIL &larr; NIL]	ykfI // yafW // ykfH // ykfG
yjbLM	[yjbLM 4,260,321 &rarr; 4,261,306]	+			yjbM // yjbL
endA	[endA 3,090,327 &rarr; 3,091,123]	+	endAp1	[endAp1 3,090,327]	endA
hcp-hcr	[hcp-hcr 911,182 &larr; 913,845]	-	hcpp1	[hcpp1 913,845]	hcr // hcp
yiiU	[yiiU 4,118,515 &rarr; 4,118,760]	+			zapB
rfaDFCL	[rfaDFCL 3,793,970 &rarr; 3,798,207]	+	rfaDp4	[rfaDp4 3,793,970]	waaL // waaC // waaF // rfaD
queD	[queD 2,892,214 &rarr; 2,892,579]	+			queD
pqqL	[pqqL 1,572,407 &larr; 1,575,202]	-			pqqL
yfcD	[yfcD 2,418,634 &larr; 2,419,206]	-	yfcDp	[yfcDp NIL &larr; NIL]	yfcD
yehLMPQ	[yehLMPQ 2,204,596 &rarr; 2,210,944]	+			yehQ // yehP // yehM // yehL
sucABCD-sdhX	[sucABCD-sdhX 758,586 &rarr; 765,150]	+	sucAp	[sucAp 758,586]	sdhX // sucA // sucB // sucC // sucD
gntXY	[gntXY 3,544,625 &rarr; 3,546,199]	+	gntXp	[gntXp 3,544,667]	nfuA // yhgH
yfgO	[yfgO 2,614,820 &larr; 2,615,881]	-			yfgO
mokC-hokC	[mokC-hokC 16,751 &larr; 16,960]	-			mokC // hokC
dgkA	[dgkA 4,256,608 &rarr; 4,257,005]	+	dgkAp2	[dgkAp2 4,256,608]	dgkA
ybcW	[ybcW 579,880 &rarr; 580,086]	+			ybcW
fimZ	[fimZ 563,848 &larr; 564,480]	-			fimZ
narU	[narU 1,542,672 &larr; 1,544,163]	-	narUp2	[narUp2 1,544,163]	narU
potFGHI	[potFGHI 893,736 &rarr; 897,929]	+	potFp1	[potFp1 893,736]	potF // potG // potH // potI
yghO	[yghO 3,129,043 &larr; 3,130,215]	-			yghO
appCBA-yccB	[appCBA-yccB 1,037,710 &rarr; 1,041,915]	+	appCp	[appCp 1,037,710]	appX // appC // appB // appA
lysA	[lysA 2,977,637 &larr; 2,978,951]	-	lysAp	[lysAp 2,978,951]	lysA
rrlE-rrfE	[rrlE-rrfE 4,210,013 &rarr; 4,213,209]	+	rrlEp	[rrlEp NIL &rarr; NIL]	rrfE // rrlE
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp3	[stfZp3 105,499]	stfZ
ygjJK	[ygjJK 3,227,801 &rarr; 3,231,239]	+			ygjK // ygjJ
fumB	[fumB 4,345,631 &larr; 4,347,348]	-	fumBp	[fumBp 4,347,348]	fumB
sibE	[sibE 3,195,097 &larr; 3,195,240]	-	sibEp	[sibEp 3,195,240]	sibE
accBC	[accBC 3,405,172 &rarr; 3,407,302]	+	accBp2	[accBp2 3,405,172]	accC // accB
yniA	[yniA 1,807,796 &rarr; 1,808,656]	+			yniA
pfkB	[pfkB 1,806,351 &rarr; 1,807,299]	+	pfkBp1	[pfkBp1 1,806,351]	pfkB
tolC-ygiBC	[tolC-ygiBC 3,178,062 &rarr; 3,181,581]	+	tolCp3	[tolCp3 3,178,062]	ygiC // ygiB // tolC
hemH	[hemH 497,998 &rarr; 499,017]	+	hemHp	[hemHp 498,031]	hemH
yigI	[yigI 4,004,230 &larr; 4,004,724]	-	yigIp	[yigIp 4,004,724]	yigI
mutS	[mutS 2,857,019 &rarr; 2,859,654]	+	mutSp	[mutSp 2,857,019]	mutS
mepS	[mepS 2,269,811 &rarr; 2,270,545]	+	mepSp2	[mepSp2 2,269,811]	mepS
yhhW	[yhhW 3,578,950 &larr; 3,579,645]	-			yhhW
yihPO	[yihPO 4,064,363 &larr; 4,067,194]	-			yihP // yihO
mngB	[mngB 767,825 &rarr; 770,611]	+	mngBp1	[mngBp1 767,825]	mngB
frsA	[frsA 256,502 &rarr; 257,771]	+	frsAp	[frsAp 256,502]	frsA
tpiA	[tpiA 4,110,740 &larr; 4,111,569]	-	tpiAp2	[tpiAp2 4,111,569]	tpiA
uhpABC	[uhpABC 3,847,305 &larr; 3,850,726]	-			uhpC // uhpB // uhpA
yddH	[yddH 1,533,282 &larr; 1,533,851]	-			yddH
garR	[garR 3,271,867 &larr; 3,272,820]	-	garRp	[garRp 3,272,820]	garR
yedS	[yedS 2,034,051 &rarr; 2,035,243]	+			yedS
dusC	[dusC 2,229,438 &larr; 2,230,395]	-	dusCp	[dusCp 2,230,395]	dusC
gadAX	[gadAX 3,664,915 &larr; 3,667,607]	-	gadAp2	[gadAp2 3,667,607]	gadX // gadA
pgk-fbaA	[pgk-fbaA 3,070,165 &larr; 3,072,648]	-	pgkp2	[pgkp2 3,072,648]	fbaA // pgk
gcvR	[gcvR 2,599,879 &rarr; 2,600,478]	+	gcvRp1	[gcvRp1 2,599,879]	gcvR
ybhP-clsB-ybhN	[ybhP-clsB-ybhN 821,542 &larr; 824,497]	-			ybhP // clsB // ybhN
adk	[adk 497,139 &rarr; 497,819]	+	adkp	[adkp 497,139]	adk
pykA	[pykA 1,937,494 &rarr; 1,939,091]	+	pykAp2	[pykAp2 1,937,494]	pykA
pepA	[pepA 4,484,440 &larr; 4,486,139]	-	pepAp1	[pepAp1 4,486,139]	pepA
moaABCDE	[moaABCDE 816,856 &rarr; 819,747]	+	moaAp2	[moaAp2 816,914]	moaE // moaD // moaC // moaB // moaA
ydcSTUV-patD	[ydcSTUV-patD 1,511,599 &rarr; 1,517,002]	+	ydcSp1	[ydcSp1 1,511,599]	patD // ydcV // ydcU // ydcT // ydcS
yfeN	[yfeN 2,525,127 &rarr; 2,525,891]	+			yfeN
astCADBE	[astCADBE 1,825,955 &larr; 1,832,044]	-	astCp2	[astCp2 1,832,044]	astE // astB // astD // astA // astC
